AAAIndicator Name,Unnamed: 0,Country Name,Country Code,AAAIndicator Name,Indicator Code,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),406,Russian Federation,RUS,CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),EN.CO2.BLDG.ZS,11.237000819,10.4912332476,10.193869531,10.5978603777,10.1535420564,10.9421031307,10.7274573735,10.8350577398,9.76250991783,9.82554615648,9.45502733146,9.23251952931,9.19083852518,9.37657611645,9.74106664144,9.38127802918,8.59591056658,8.34669102303
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",407,Russian Federation,RUS,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,62.1305006081,60.6320530175,63.3632433849,62.9485004417,63.2402668455,62.1270283819,61.2739857822,61.1154128563,61.8960207636,62.1840988747,61.5676660593,61.7986149236,62.4955316107,60.851661506,59.7975210521,59.439111995,59.5891581286,60.4985392232
CO2 emissions from manufacturing industries and construction (% of total fuel combustion),408,Russian Federation,RUS,CO2 emissions from manufacturing industries and construction (% of total fuel combustion),EN.CO2.MANF.ZS,10.9075227718,13.5892681863,12.1247052659,12.3862536981,11.1891567541,11.8032426642,13.6638783473,13.251451839,13.2972929358,12.653174164,12.6923968859,13.33350972,12.8019354509,14.0083633926,13.9470779323,14.8873421403,15.6464177905,15.1884492781
CO2 emissions from transport (% of total fuel combustion),410,Russian Federation,RUS,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,12.7391973394,12.1470684467,11.7867435159,11.578637428,13.748896968,13.4870657391,12.531401999,12.947066284,13.2408117158,13.558384062,14.5979791287,14.4884014737,14.5050301297,14.6052925591,15.341722648,15.3087522068,15.3167064303,14.9712986094
Population density (people per sq. km of land area),414,Russian Federation,RUS,Population density (people per sq. km of land area),EN.POP.DNST,9.05518660573,9.05924309974,9.04630625548,9.03098283436,9.01458931831,8.9827807409,8.94899666328,8.91160939511,8.87043393114,8.83025661468,8.79464203848,8.76107113011,8.73438752844,8.71946239225,8.71609471163,8.71871987749,8.72263436176,8.72943779855
Population in largest city,416,Russian Federation,RUS,Population in largest city,EN.URB.LCTY,9110941.0,9200994.0,9334368.0,9512887.0,9682476.0,9842072.0,10004523.0,10169198.0,10336816.0,10479960.0,10615013.0,10751428.0,10889788.0,11029929.0,11172069.0,11315643.0,11461264.0,11608759.0
Population in the largest city (% of urban population),417,Russian Federation,RUS,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,8.37071660533,8.45165054753,8.58722940737,8.76641719572,8.9379663718,9.11407226262,9.30405987432,9.49792121087,9.69965470322,9.87438695417,10.0358301862,10.1974018328,10.3561513651,10.5009513466,10.6344431323,10.7614312288,10.8883750848,11.0131766491
Population in urban agglomerations of more than 1 million,418,Russian Federation,RUS,Population in urban agglomerations of more than 1 million,EN.URB.MCTY,25784327.0,25818916.0,25903206.0,26039202.0,26162462.0,26271966.0,26391889.0,26514449.0,26640187.0,26809833.0,26997283.0,27186290.0,27377651.0,27571131.0,27767028.0,27964546.0,28164535.0,28366738.0
Population in urban agglomerations of more than 1 million (% of total population),419,Russian Federation,RUS,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,17.3823798673,17.4010376873,17.4832604327,17.6041293684,17.7167599377,17.846058149,18.0030756111,18.1635569712,18.3338462049,18.5345012488,18.7393871468,18.9427046988,19.1385818484,19.3068267988,19.4525506971,19.5850257515,19.7162363573,19.8423095752
Scientific and technical journal articles,576,Russian Federation,RUS,Scientific and technical journal articles,IP.JRN.ARTC.SC,21612.0,18603.5,18553.3,18133.4,17165.6,17145.4,17180.1,15657.9,15847.2,15147.8,14921.8,14424.5,13561.6,13953.7,13970.2,14057.2,13500.4,14150.9
"Patent applications, residents",578,Russian Federation,RUS,"Patent applications, residents",IP.PAT.RESD,21250.0,17551.0,18014.0,15106.0,16454.0,19900.0,23377.0,24777.0,23712.0,24969.0,22985.0,23644.0,27884.0,27505.0,27712.0,25598.0,28722.0,26495.0
Rail lines (total route-km),614,Russian Federation,RUS,Rail lines (total route-km),IS.RRS.TOTL.KM,87543.0,87543.0,87543.0,86660.0,86151.0,86000.0,86075.0,85835.0,85542.0,85500.0,85286.0,85542.0,92217.0,84158.0,84158.0,85194.0,85292.0,85167.0
Fixed telephone subscriptions,619,Russian Federation,RUS,Fixed telephone subscriptions,IT.MLT.MAIN,24097265.0,25018894.0,25914510.0,28250447.0,29246000.0,30949000.0,32070000.0,33278200.0,35500000.0,36100000.0,38500000.0,40100000.0,43900000.0,45218214.0,45539288.0,45379601.0,44915829.0,44151461.0
