,AAAIndicator Name,Unnamed: 0,Country Name,Country Code,AAAIndicator Name.1,Indicator Code,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
94,"Improved sanitation facilities, rural (% of rural population with access)",1003,Russian Federation,RUS,"Improved sanitation facilities, rural (% of rural population with access)",SH.STA.ACSN.RU,58.4,58.4,58.4,58.4,58.5,58.5,58.5,58.5,58.5,58.5,58.6,58.6,58.6,58.6,58.6,58.7,58.7,58.7
95,"Improved sanitation facilities, urban (% of urban population with access)",1004,Russian Federation,RUS,"Improved sanitation facilities, urban (% of urban population with access)",SH.STA.ACSN.UR,77.8,77.7,77.7,77.7,77.6,77.6,77.5,77.5,77.4,77.4,77.4,77.3,77.3,77.2,77.2,77.2,77.1,77.1
96,"Incidence of tuberculosis (per 100,000 people)",1032,Russian Federation,RUS,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,86.0,96.0,104.0,111.0,118.0,123.0,128.0,132.0,136.0,138.0,138.0,136.0,132.0,126.0,119.0,112.0,105.0,99.0
105,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",1090,Russian Federation,RUS,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,64.4000015259,63.0999984741,61.5999984741,58.2999992371,56.2999992371,59.5999984741,61.0,60.7999992371,61.7999992371,62.2000007629,62.9000015259,63.5999984741,63.7000007629,65.5999984741,66.3000030518,64.4000015259,65.3000030518,66.3000030518
106,"Employment to population ratio, 15+, total (%) (national estimate)",1091,Russian Federation,RUS,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,60.5,59.0,57.7000007629,54.9000015259,53.0,56.7999992371,58.5,58.4000015259,59.7999992371,59.4000015259,60.2999992371,61.2999992371,61.7000007629,63.0999984741,63.2000007629,62.0,62.7000007629,63.9000015259
107,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",1092,Russian Federation,RUS,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,55.7999992371,54.7999992371,53.5999984741,51.0999984741,49.4000015259,52.7999992371,54.2000007629,54.0999984741,55.2999992371,56.0,56.7000007629,57.5,57.7000007629,59.2000007629,59.2999992371,57.9000015259,58.4000015259,59.2999992371
108,GDP per person employed (constant 1990 PPP $),1105,Russian Federation,RUS,GDP per person employed (constant 1990 PPP $),SL.GDP.PCAP.EM.KD,10947.0,10774.0,10477.0,10815.0,10380.0,10965.0,11991.0,12512.0,12987.0,13849.0,14747.0,15597.0,16773.0,17978.0,18796.0,17585.0,18318.0,19012.0
114,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",1142,Russian Federation,RUS,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,65.0,65.0,64.0,62.7000007629,61.7000007629,65.6999969482,65.9000015259,64.6999969482,66.1999969482,66.5999984741,67.4000015259,68.0,68.5,69.0,68.6999969482,68.5999984741,68.0999984741,68.3000030518
116,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",1144,Russian Federation,RUS,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,70.6999969482,70.8000030518,69.5,67.9000015259,66.6999969482,70.3000030518,70.4000015259,69.3000030518,70.1999969482,70.5,71.0999984741,71.5999984741,71.9000015259,72.8000030518,73.0,72.9000015259,72.6999969482,73.0
118,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",1146,Russian Federation,RUS,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,52.7999992371,52.7000007629,51.7999992371,50.7999992371,50.0,54.0,54.0999984741,52.9000015259,54.0,55.0999984741,55.7000007629,56.2000007629,56.5,57.0999984741,56.9000015259,57.0,56.4000015259,56.9000015259
